交易时间,公众账号ID,商户号,特约商户号,设备号,微信订单号,商户订单号,用户标识,交易类型,交易状态,付款银行,货币种类,应结订单金额,代金券金额,微信退款单号,商户退款单号,退款金额,充值券退款金额,退款类型,退款状态,商品名称,商户数据包,手续费,费率,订单金额,申请退款金额,费率备注
`2026-04-01 12:18:05,`wx3e5c4e6bb99d7c8e,`1693395706,`0,`,`4200003069202604010297573458,`169339570620260401121753085684,`oE02-6NLlP7MbekZev1Hwt0xOjl0,`JSAPI,`SUCCESS,`PAB_CREDIT,`CNY,`1000.00,`0.00,`0,`0,`0.00,`0.00,`,`,`商户:趣捞鱼-3033 电表:10102029 电表充值,`,`5.40000,`0.54%,`1000.00,`0.00,`
`2026-04-01 11:17:53,`wx3e5c4e6bb99d7c8e,`1693395706,`0,`,`4200003080202604015986347576,`169339570620260401111744192574,`oE02-6BPAHYDHt6_ODlWOg1etQaM,`JSAPI,`SUCCESS,`COMM_CREDIT,`CNY,`50.00,`0.00,`0,`0,`0.00,`0.00,`,`,`商户:星辰弓射箭馆A-3026 电表:10102022 电表充值,`,`0.27000,`0.54%,`50.00,`0.00,`
`2026-04-01 09:56:24,`wx3e5c4e6bb99d7c8e,`1693395706,`0,`,`4200003081202604015365457353,`169339570620260401095612664539,`oE02-6GNsm6_O-7buQ6QLtk3D1EY,`JSAPI,`SUCCESS,`CCB_DEBIT,`CNY,`1000.00,`0.00,`0,`0,`0.00,`0.00,`,`,`商户:许府牛-5003-1 电表:10105046 电表充值,`,`5.40000,`0.54%,`1000.00,`0.00,`
`2026-04-01 09:03:21,`wx3e5c4e6bb99d7c8e,`1693395706,`0,`,`4200003082202604018190259235,`16933957062026040109025283499,`oE02-6EmbplIH1QhCvBS-MVsLzF8,`JSAPI,`SUCCESS,`CQRCB_CREDIT,`CNY,`50.00,`0.00,`0,`0,`0.00,`0.00,`,`,`商户:宝宝来当家-3022 电表:10102017 电表充值,`,`0.27000,`0.54%,`50.00,`0.00,`
`2026-04-01 18:02:13,`wx3e5c4e6bb99d7c8e,`1693395706,`0,`,`4200003084202604019410920762,`169339570620260401180202685937,`oE02-6Ck4UxbaML_Tf_BFkfKrsyw,`JSAPI,`SUCCESS,`COMM_CREDIT,`CNY,`300.00,`0.00,`0,`0,`0.00,`0.00,`,`,`商户:蛙赛牛蛙-5009 电表:10104029 电表充值,`,`1.62000,`0.54%,`300.00,`0.00,`
`2026-04-01 09:57:08,`wx3e5c4e6bb99d7c8e,`1693395706,`0,`,`4200003087202604017795658000,`169339570620260401095656138653,`oE02-6GNsm6_O-7buQ6QLtk3D1EY,`JSAPI,`SUCCESS,`GDB_DEBIT,`CNY,`1000.00,`0.00,`0,`0,`0.00,`0.00,`,`,`商户:超鸡魔王-5021B 电表:10104016 电表充值,`,`5.40000,`0.54%,`1000.00,`0.00,`
`2026-04-01 12:14:25,`wx3e5c4e6bb99d7c8e,`1693395706,`0,`,`4200003087202604018230326652,`169339570620260401121418202117,`oE02-6DkzC4n-C1tbBu2G8QgA6Tk,`JSAPI,`SUCCESS,`OTHERS,`CNY,`2000.00,`0.00,`0,`0,`0.00,`0.00,`,`,`商户:瞄一瞄-1001 电表:101B1001 电表充值,`,`10.80000,`0.54%,`2000.00,`0.00,`
`2026-04-01 12:06:08,`wx3e5c4e6bb99d7c8e,`1693395706,`0,`,`4200003092202604017604671683,`16933957062026040112060294747,`oE02-6P9xx4Ge2NwPhp7dMxu3HTg,`JSAPI,`SUCCESS,`OTHERS,`CNY,`200.00,`0.00,`0,`0,`0.00,`0.00,`,`,`商户:遇尚饼-5018 电表:10104014 电表充值,`,`1.08000,`0.54%,`200.00,`0.00,`
`2026-04-01 09:56:43,`wx3e5c4e6bb99d7c8e,`1693395706,`0,`,`4200003131202604012456877520,`16933957062026040109563401031,`oE02-6GNsm6_O-7buQ6QLtk3D1EY,`JSAPI,`SUCCESS,`CCB_DEBIT,`CNY,`1000.00,`0.00,`0,`0,`0.00,`0.00,`,`,`商户:许府牛-5003 电表:10104044 电表充值,`,`5.40000,`0.54%,`1000.00,`0.00,`
`2026-04-01 17:55:46,`wx3e5c4e6bb99d7c8e,`1693395706,`0,`,`4200003134202604012332983152,`1693395706202604011755397684,`oE02-6J105X2x5eXNBHiqf0DkiYk,`JSAPI,`SUCCESS,`GDB_DEBIT,`CNY,`4700.00,`0.00,`0,`0,`0.00,`0.00,`,`,`商户:吉布鲁-5001A 电表:10104048 电表充值,`,`25.38000,`0.54%,`4700.00,`0.00,`
